NCTNumber,LeadSponsorName,InterventionDescription,BaselineMeasurePopulationDescription,DesignInterventionModelDescription,InterventionName,PrimaryOutcomeDescription
NCT01157442,University of Manitoba,"At enrollment a study nurse will send the intervention group a weekly SMS message reminding them to attend antenatal care. Starting at 36 weeks gestational age, an automated bulk SMS management system, will send the intervention group 3 SMS text messages (using non descript slogans) each week by proxy reminding them to take their nevirapine in labor. From time of delivery to 6 weeks postpartum the women will aslo receive 3 SMS messages per week reminding them to attend their 6 week checkup and 6 week infant visit.Upon receiving these messages women in the intervention group can text back if they have any concerns or questions. These women would then receive phone calls from the study nurse triaged according to the women's needs.",,,cell phone sms text messaging,
NCT01058694,Georgetown University,Short message services were sent to randomly selected consenting subjects on ARV therapy. The frequency and content of the message is varied in a factorial design.,,,Short Message Services to Support ARV therapy adherence,
NCT00792519,Brown University,group support,,,HIV support group,
NCT00273780,University of Washington,Three adherence counseling sessions will be given to participants in the trial. Two sessions will occur prior to initiation of antiretroviral medications and one session will be given one month after drug administration.,,,Adherence counseling,
NCT00241202,"University of California, San Francisco","Participants receive the Symptom Management Manual, and are shown an example. They are given the Manual to take home with them and use.",,,Symptom Management Manual,
NCT00194545,University of Washington,Caregivers expected to complete medication diaries daily,,,Medication diaries,
NCT00146380,Centers for Disease Control and Prevention,"Zidovudine 300mg po bid from 34 weeks gestation to 6 months postpartum Lamivudine 150mg po bid from 34 weeks gestation to 6 months postpartum AND EITHER Nevirapine 200mg po qd for 2 weeks as lead in then bid from 34 weeks gestation to 6 months postpartum OR Nelfinavir 1250mg po bid from 34 weeks gestation to 6 months postpartum

ARVs continued for those that meet WHO treatment criteria",,,Zidovudine/Lamivudine and either Nevirapine or Nelfinavir,
NCT05525533,"University of California, San Francisco",The investigators will collect AGYW customer feedback using a short USSD-based survey and randomize whether shopkeepers receive 1) No feedback; 2) Private feedback; or 3) Public feedback,,Randomized controlled trial; the investigators will phase in the 2 interventions (Private and Public Feedback) on a staggered basis. All shops will receive No Feedback during the first 6 months. One third of shops (~N=40) will be assigned to No Feedback between 6-12 months and Private Feedback between 12-18 months; one third of shops (~N=40) will be assigned to Private Feedback between 6-12 months and Public Feedback between 12-18 months; one third of shops (~N=40) will be assigned to Public Feedback between 6-18 months.,Harnessing prosocial and social image motivations for behavior change,Mean number of HIV self-test kits distributed per shop every 2 weeks
NCT05373095,"University of California, Berkeley","The intervention includes up to 3 cash transfers of 22,500 Tanzanian Shillings (~$10) paired with attendance at each of the three adapted enhanced adherence counseling sessions (PKC sessions). The first cash transfer will occur at enrollment; the next two cash transfers are payable upon visit attendance and attendance of the two remaining PKC sessions. The cash transfers will include extra funds for transaction fees, typically <$1.",,,PKC (adapted adherence counseling) and Conditional Cash Transfers,The proportion of people living with HIV (PLHIV) and on ART with suppressed HIV viral load ( <1000 copies/ml) at 12 months after study enrollment.
NCT05374109,Duke University,"Mental health is associated with ART adherence and HIV outcomes. SYV was designed to address the specific challenges of young people living (YPLWH) with HIV in Tanzania. SYV includes 10 group sessions (two sessions held jointly with caregivers) lasting approximately 90 minutes and two individual sessions delivered by trained young adult group leaders who use a manualized protocol that is designed to scale in low resource settings. The intervention is applied to the Social Action Theory (SAT), a theoretical framework used to determine factors that influence health behavior. Building off a SAT resilience framework for YPLWH, components of evidence-based treatment models to influence cognitive, self, and social regulation to improve behavioral health outcomes will be strategically used.",,"Restricted randomization will be used to balance the randomization across both study arms by site, sex, and enrollment HIV RNA (<400 copies/mL or ≥400 copies/mL). Those randomized to receive the SYV intervention will be assembled into 33 groups of 10-11 participants per group. Those randomized to SOC will continue to receive routine care, which will be clearly defined by each site. The outcomes assessor and statisticians will be masked to participant study arm through the 6-month study visit (primary aim).",SYV: Sauti ya Vijana (The Voice of Youth intervention),HIV RNA measured by blood testing
NCT05357144,"University of California, San Francisco","Consenting drug shops will receive:

training on Malkia Klabu implementation;
HIVST training (same as comparison drug shops);
procedures for referring to youth-friendly HIV/SRH services;
a monthly supply of HIVST reserved for free distribution to AGYW, with ""free"" price stickers and pre-packaged with referral information; and
reimbursement for SRH products given to AGYW (e.g., birth control pills).",,Randomized controlled trial; Catchment areas will be randomly assigned 1:1 to intervention or comparison arms (n=60-70 intervention drug shops; ~3-4 drug shops per area) using a constrained approach to ensure balance in key covariates.,Loyalty card program at drug shops & supply of HIVST and SRH products,"Cumulative HIV-positive tests among 15-24 year old females at 24 months from routinely collected health facility data, disaggregated by sex and age, aggregated to the catchment area level."
NCT05306938,"University of North Carolina, Chapel Hill","Adolescent Wellness Visits (AWVs) are a new health service platform for reaching young adolescents with HTC and other evidence-based prevention services which are clinic-based and school-facilitated. The AWVs bundle the following health screenings, education, and counseling on: nutrition, vision, dental, mental health (depression), contraception, sexually transmitted infections, and optional HIV testing.",,"This is a cluster randomized control trial, with randomization occurring at the school level into one of two arms: intervention or control.",Adolescent Wellness Visit,"Data will be collected at five time points via individual interviews between the adolescent and a research assistant at the AWV (baseline), and at months 6, 12, 18, and approximately 24. At each time point, the adolescent will be asked whether they have had an HIV test since the previous interview. The AWV intervention is delivered concurrently with baseline data collection."
NCT05271903,University of Utah,"The MAMA intervention will be based on PRONTO International's simulation training program to improve obstetric care delivery. The PRONTO curriculum is based on simulation and debrief of clinical scenarios, case-based learning, skills stations, and interactive teamwork and communication activities. Through the training, providers review and learn clinical skills related to obstetric care and emergencies, while reflecting on and practicing principles of respectful maternity care. The simulation exercises give providers and opportunity to ""act"" as the patient and develop empathy for the patient experience, and debriefing after simulation includes a reflection and discussion about RMC principles. The training will be two full days, followed by a refresher training in the clinical setting after one month.",,MAMA intervention: a simulation training for labor and delivery providers,MAMA Intervention,"Person-centered maternity care. This 24-item scale was initially validated in Kenya and India, and used for PRONTO evaluations in Ghana. It has been shown to have high content, construct and criterion validity, and good reliability. The scale was designed with three subscales (dignity and respect, community and autonomy, and supportive care), but factor analysis has supported a single dominant factor."
NCT05248100,"University of California, Berkeley","The intervention is a one-time cash transfer of 22,500 Tanzanian Shillings (~$10), with half (11,250 TSH) delivered upon enrollment in the study and half delivered after confirmation of the completion of a clinical visit if within 90 days of study enrollment.",,,Conditional Cash Transfer,"The proportion of people living with HIV (PLHIV) retained in HIV primary care and with suppressed HIV viral load 6 months following study enrollment. The primary outcome is expressed as a binary variable, defined as PLHIV who are on ART and with sufficient HIV viral suppression (<1000 copies/ml, WHO's threshold for virologic failure in LMICs) versus not on ART or viral failure (≥1000 copies/ml)."
NCT05033002,Duke University,The Labda Siku Moja stigma reduction intervention is a tailored stigma reduction intervention for women living with HIV in Tanzania. It is comprised of five ethnodramas (video stories) culturally and linguistically relevant to the Tanzanian women living with HIV.,,,Labda Siku Moja stigma reduction intervention,
NCT04863898,RTI International,"We will adapt the HP+ health facility HIV stigma-reduction intervention to focus on drug stigma in HIV CTCs. The intervention will address key stigma drivers, including fear, awareness of stigma, and stigmatizing attitudes and beliefs, through a participatory training approach that involves all levels of staff and is grounded in social cognitive theory principles. The approach seeks to reduce stigma through fostering empathy, interpersonal interactions (contact strategies) and building efficacy for stigma reduction through awareness, skills, and knowledge building. The intervention consists of five-2.5 hour participatory training sessions.",,Pilot study to test a drug-use stigma-reduction intervention with health workers. Pre-post survey design with qualitative data collection post pilot intervention,Drug-use stigma reduction intervention for HIV care and treatment clinics,"An 8-item scale that measures stigma amongst health workers toward people who use drugs. Each item consists of a 5-point Likert scale, with 5 indicating the highest degree of agreement with the statement. The score is calculated additively with a range of 8-40.

Included items

If I were under treatment for drug addiction, I would not disclose this to any of my colleagues.
If I had drug addiction, I would seek treatment at a health facility away from the one I work in.
I would see myself as weak if I had drug addiction and could not fix it myself
I would be reluctant to seek help if I had drug addiction
Despite my professional beliefs, I have negative reactions towards people who use drugs
I would not want a person with addiction, even if it were managed, to work with children.
Healthcare providers do not need to be advocates for people who use drugs.
I am afraid to provide health services to people who use drugs"
NCT04696861,Duke University,"Participants will receive three counseling sessions at two week intervals, delivered by telehealth by a trained psychiatric nurse, focused on managing suicidal ideation and enhancing HIV care engagement.",,"Patients who screen positive for suicidal ideation will be enrolled in the study, complete the baseline survey, and then randomly assigned to the intervention (3 sessions of counseling) or enhanced standard of care (brief safety planning).",IDEAS for Hope,"Columbia-Suicide Severity Rating Scale (C-SSRS), 6 items, scale 0 to 6 with higher indicating more ideation"
NCT04071873,Weill Medical College of Cornell University,"Participants will undergo an HIV 1/2 antibody point of care test (Oraquick) and receive pre- and post-test counselling.Participants with positive tests will be referred to the HIV clinic for Western Blot confirmation, and linkage to care.",,,Point-of-care HIV testing,"Rate of HIV testing among clients of traditional healers who were offered point-of-care HIV testing, as compared to clients who were offered education regarding community HIV resources."
NCT03600142,University of Utah,"Maisha is a brief, scalable, theory-based counseling intervention that addresses HIV stigma at entry into antenatal care. The intervention will be developed in a formative phase and includes 1) a video and counseling session prior to HIV testing that addresses HIV stigma, and 2) two post-test HIV counseling sessions for HIV-infected individuals, building on the video content to provide emotional support, address stigma, and reinforce the value of care engagement.",,,Mashia,"For HIV-infected female participants, retention in care will be assessed via medical record review, with retention defined as having no more than a 60 day gap between PMTCT visits at the study clinic, or having record of an official transfer to another clinic."
NCT03454373,"University of California, Berkeley","Participants who were found to have been lost to care will receive standard of care plus a one-time ""re-start"" incentive of 22,500 TZS to return to care",,,Incentive for linkage to care,"Initial re-engagement in care, defined as as the proportion of PLHIV who have completed (attended) a HIV primary care visit at the clinic of the PLHIV's choosing within 3 months of the incentive offer to return to care."
NCT03098693,Medical University of South Carolina,Access to home-based HIV self-testing kits for stable couples.,,,HIV Self-Testing,The proportion of eligible individuals who received an HIV self-test kit who successfully used the kit within two weeks of receiving the test kit.
NCT02938533,"University of California, Berkeley","The intervention includes a clinic-based component and a take-home component. All components include the priming image of a Baobab tree. The clinic-based component is an interactive poster that rewarded appointment attendance. Patients who attend three consecutive on-time visits are congratulated and given a colored sticker to place on a poster that is publicly displayed at the clinic. In one clinic, the take-home component is a 2015 calendar in Kiswahili that contained the priming Baobab image. In the other clinic, the take-home component is a small plastic pillbox featuring the Baobab logo.",,,Intervention,This measure of retention in care accounts for variability in visit scheduling by individual providers and therefore uses a window period of 150-210 days to determine whether the patient was in care at 6 months
NCT02888288,Duke University,"Includes a standard format of greetings, review of last session content, homework discussion, new topic, assigning homework and ends with a fun activity, relaxation or game. First session is a joint session with youth and caregivers. Topics include common stresses and worries experienced by HIV+ youth; relaxation and coping techniques; cognitive behavioral triangle; story of finding out HIV status and if willing, to discuss this in an individual session, peer group session, and with caregiver; identify circles of support; discuss stigma and how to disclose HIV status to others; consider values, hopes and dreams for the future, and how to use this information to live positively with HIV. ART adherence is woven into case examples and discussions.",,,Mental Health Intervention,Measure the percentage of participants who complete all intervention sessions and ability to interview participants for outcome measures over time.
NCT02714140,University of South Carolina,Participants will be offered 3 HIV testing options. The investigators will rank the predicted utility of all EXISTING HIV testing options for each participant and select those 3 PB-HCT options that jointly maximize the share of participants predicted to prefer at least one of the three options over the common option.,,,PB-HCT +,Percent of participants who test for HIV
NCT03023033,Elizabeth Glaser Pediatric AIDS Foundation,SMS appointment reminders and health messaging via mobile phones,,,mHealth messaging,Proportion of HIV-exposed infants (HEI) attending for early infant diagnosis of HIV (DBS collected) by 8 weeks
NCT02376348,"National Institute for Medical Research, Tanzania","Sites randomized to the intervention arm will receive all activities in the control arm, plus additional demand-creation communication messages that focus on the non-HIV benefits of VMMC and the voluntary nature of HIV testing prior to VMMC ii) use of already circumcised men from the community as auxiliary peer promoters, iii) separate waiting and group education areas for men aged 20 years and above during service delivery, iv) engagement of female partners in community-based demand creation and education and counselling about wound healing and post-circumcision abstinence.",,,A targeted demand creation Activities,"Cluster-level summary methods will be used to assess the impact of the intervention[19]. The primary outcome will be the unadjusted ""prevalence ratio"", estimated as the ."
NCT02281578,Johns Hopkins Bloomberg School of Public Health,"The combination package will include integrated biomedical, behavioral and structural components: (1) mobile HIV testing and risk reduction counseling; (2) service navigation to facilitate access to treatment and retention in care; (3) sensitivity training for HIV clinical care providers; (4) SMS text messages to promote adherence to care and ART; (5) venue-based peer education and condom distribution; and (6) a community drop-in-center to promote cohesion and collective action to reduce stigma and discrimination.",,,Community-based combination HIV prevention intervention,Biologic assessment of new infections among HIV-uninfected participants via blood draw
NCT02018978,Medical University of South Carolina,"HIV Voluntary Counseling and Testing at Community Prevention Center-The center will be open to all community members.
Community Mobilization-HIV/AIDS and VCT information will be disseminated with pamphlets, community discussions, and meetings.
Risk Assessment and Triaged Counseling and Recruitment-Clients identified at high-risk for HIV infection and HIV-infected clients we be offered an additional counseling session. Participation will be incentivized. These clients will also be provided with up to 3 referral cards to give to sexual partners. If partners come for VCT, they will receive a small incentive.
Incentives & Support Activities - Modest and ethically appropriate incentives, including those providing nutritional support (food), health and hygiene benefits (bed nets), transport to access interventions, or income generation potential, will be provided for participation in some project interventions, and these will be graduated based on HIV risk potential.",,,Comprehensive Triaged HIV Prevention (CTHP),"Incidence of sexually transmitted infections (STI) defined as any incident case of syphilis, HIV, or herpes simplex virus-2."
NCT01746758,Liverpool School of Tropical Medicine,"The text messaging system has been designed to use codes of reproductive health conditions and their treatments. Text messages are sent by drug stores and received at the dispensaries, forwarded by a bespoke software called Snapshot, which captures data online from any computer anywhere by use of a login for confidentiality.",,,SMS text messaging referral,This will be measured by comparing data of referred patients by text message in intervention wards with patients' data from comparison wards - comparing the number of referrals from drug stores in both arms.
NCT01693458,Harvard School of Public Health (HSPH),"The intervention is based on an Appreciative Inquiry approach that comprises a 10-session program based on learning by doing rather than factual classroom type learning, although it includes discussion of relevant facts about HIV, and other STIs. The intervention is based on the template of Stepping Stones (Jewkes et al., 2008), which is internationally one of the most widely used participatory behavioral interventions targeting sexual health. The Stepping Stones curriculum was shortened and radically adapted from more than 20 sessions. However NAMWEZA borrows generously from many of the exercises and games. It also employs the successful experience of stratification by age and sex to engage 4 different working groups (younger and older, male and female).",,,Appreciative Inquiry Change Agents (CA) program (NAMWEZA),"Change in HIV Testing status (for those with unknown HIV status) or access to HIV services (for those who are HIV-positive, e.g. viral load, antiretroviral therapy, etc.)"
NCT00941876,FHI 360,Seven key steps carried out by CTC and FP staff to encourage completion of FP referral by CTC.,,,Facilitated Referral,
NCT00631384,Johns Hopkins Bloomberg School of Public Health,Offer women coming to antenatal clinics to have their husbands come with them for couples VCT,,,Couples VCT,
NCT00248469,London School of Hygiene and Tropical Medicine,,,,In-school Sexual Health Education,
NCT00203749,"University of California, Los Angeles","COMMUNITY MOBILIZATION. This component of the intervention uses community outreach to enhance the uptake of VCT, thus increasing the rate of HIV testing and frequency of discussions about HIV and reducing stigma through community education and mobilization.

EASY ACCESS TO VCT. This component is designed to remove practical barriers and increase safety of VCT. Mobile vans or temporary units set up at local community sites will provide free, anonymous VCT in specific, chosen sites where people gather, such as market areas, shopping centers, and community centers.

POST-TEST SUPPORT SERVICES. This component is designed to build psychosocial support to improve the quality of life for individuals diagnosed with HIV. The expected outcomes include a reduction in social harm, an increase in social support through disclosure to those most likely to provide support, and a reduction in internalized stigma. Social support should also decrease the behavioral risk of further transmission.",,,Community-Based HIV VCT,
NCT05862857,"University of California, San Francisco",Patrons and employees of drinking venues that are randomized to HIV-focused recruitment will receive a recruitment card offering free HIV testing at the local clinic,,,HIV-focused mobilization,"The proportion of HIV-negative adults, receiving an Aim 1 recruitment card, who initiate PrEP or PEP after mobilization. This outcome will be measured by pill dispensing records and Ministry of Health (MoH) PrEP and PEP registry records."
NCT05947539,Arizona State University,"The intervention consists of 5 bi-weekly sessions each lasting 60 to 90 minutes. It uses motivational interviewing, peer navigation, and behavioral economics to promote strategies for economic strengthening, reductions in male partner alcohol use, coping with relationship conflict and stress, changing norms that reduce intimate partner violence and support engagement in HIV care and antiretroviral therapy (ART) adherence among adolescent girls and young women living with HIV, and, thereby, enhances future sustained viral suppression and benefits of treatment as prevention.",,,"Kisoboka Mukwano (""It is possible, my love!"") Intervention",presence of Tenofoivir Disoproxil Fumarate (TDF) detected in urine
NCT05771519,Brigham and Women's Hospital,This will be a biobehavioral intervention focused on helping men with HIV to disclose their HIV status to a personal confidant inclusive with specific focus on sexual partners.,,,HIV disclosure intervention,"Of 35 intervention participants, ≥70% (25 participants) rate all 4 items on the Acceptability of Intervention Measure (a 5-point Likert scales) as ""agree"" or higher. I will also assess intervention acceptability through qualitative interviews with participants and counselors."
NCT05688709,"Infectious Diseases Research Collaboration, Uganda","YLHIVA assigned to the WhatsApp group will interact with each other and their peer counsellors through one-on-one private communications and on the group chat. The group chat will allow YLHIVA to ask questions, post comments, and reply to one another at any time. We shall share education videos once a week at a time agreed upon with study participants to optimize assimilation of information. In addition, peer counsellor will engage in private WhatsApp calls with youth once a week, to monitor psychosocial state, medication adherence, identify barriers to adherence and counsel YLHIVA. However, youth may initiate in more private communications' when need arises. The peer counsellor will also engage with YLHIVA daily through WhatsApp messages. We will tailor the messages to young people's treatment schedules, clinic appointments, and psychosocial state. Again, youth may text a peer counsellor whenever they wish to do so.",,,WhatsApp peer support group,ART adherence defined as an adherence score of ≥ 95% calculated from the number of pills taken divided by the total number of pills expected to have been taken determined using self-reports[18]. We will calculate the proportion of youth who adhere to treatment from the number of youth with an adherence score of ≥ 95% divided by the total the number of youth enrolled in the study for each study arm at the specified time points
NCT05685498,Joseph KB Matovu,"This behavioral intervention is centered on the distribution of HIV self-test kits to men through their respective peer-leaders. The investigators have identified up to 18 social network groups; each group is represented by 1-2 peer-leaders who were selected during community engagement meetings. Peer-leaders have received a 3-day training in the HIV self-testing processes, communication skills, existing referral mechanisms, and basic counseling skills. After the training, each peer-leader nominated up to 20 male members (15+ years) from within their social networks who were screened for study eligibility. Eligible male social network members were administered a baseline interview and requested to go to their peer-leaders to obtain their HIV self-test kits.",,,Peer-led HIV self-testing among male fisherfolk in Uganda,Men will receive HIV self-test kits and be trained in how to use them as well as read and interpret results by trained peer-leaders. Uptake of HIV self-testing will be defined as the percentage of those that received HIV self-test kits from their peer-leaders who actually used them to self-test for HIV.
NCT05597865,Washington University School of Medicine,Economic Empowerment Intervention comprising Financial Literacy Sessions and Youth Development Accounts,,,Economic Empowerment Intervention,Proportion of participants enrolled Proportion of participants refused Willingness of local partners to assist with recruitment Reasons for refusal or ineligibility Reasons for enrolment in intervention
NCT05600621,Washington University School of Medicine,"Participants will be assigned to receive FLT workshops which are implemented by community-level agencies in collaboration with the financial institutions. FLT comprises six workshops delivered over 6 weeks. Topics include: a) an introduction to the notion of asset-building; b) coverage of asset-building strategies in detail, e.g., saving; c) coverage of specific topics related to saving, e.g., the importance of saving and how to save, d) an introduction of banking services to participants and e) coverage of basics of borrowing and debt management. Participants from the same location, in this case, clinics are assigned to the same group. Workshops occur on weekends to accommodate participants week-day schedules, including school and/or gardening.",,"The factorial experiment is guided by the Multiphase Optimization Strategy (MOST).

The 4 intervention components are:

Component 1. Financial Literacy Training (FLT); Component 2. Incentivized Matched Youth Savings Accounts (YSA) with income-generating activities (IGAs); Component 3. A manualized visual-based intervention for ART adherence and stigma reduction using multiple family group approach (Suubi Cartoon); Component 4. Engagement with HIV treatment-experienced role models who share their lived experiences of HIV.

Clinics will be randomized to provide one of the 16 conditions, with 12 ALHIV (aged 11-17 years) enrolled per clinic, yielding main effects and interaction effects for the 4 components on sustained viral suppression.",Financial Literacy Training (FLT) Workshops,Change in viral suppression will be assessed using viral load (VL) data collected from health clinic records. VL will be dichotomized between undetectable /suppression (VL< 40 copies/ml) and detectable/failed viral suppression (VL > =40 copies/ml) levels at each assessment time.
NCT05378607,RAND,"Wisepill data on adherence will be collected remotely. Every three months, participants have a chance to participate in a prize drawing for an airtime reward of 500, 5,000, or 10,000 Ugandan Shillings if adherence matches or exceeds the subgoal chosen by the study coordinator. Subgoals will gradually increase from the participant's baseline adherence up to 90%. Prize drawings can be done during regularly scheduled clinic visits if the participant has a visit corresponding to the 3-month mark or remotely via SMS text message.",,,"Incentivization based on gradually increasing, externally chosen adherence goals","Wisepill devices monitor the date and time of all device openings to retrieve ART medication, allowing ART adherence to be tracked continuously on the Wisepill server. This will be coded as the number of ART doses taken / number of doses prescribed."
NCT05307250,Washington University School of Medicine,"In addition to the BSOC, ALHIV and their caregivers will participate in a family strengthening intervention plus a family economic empowerment intervention.

MFG is an evidence-based family-centered, group-delivered, evidence-informed, strength-based 10-session (weekly) intervention for children whose families struggle with poverty. Six additional sessions covering HIV stigma stigma-related issues will be added.

ALHIV will receive a YDA with a 1:1 matched savings program at a financial institution accredited by the Bank of Uganda. Each YDA will be opened in the name of the adolescent, with their primary caregiver as a co-signer, until the adolescent turns 18 years. The account will then be matched with money from the program on 1:1 rate.",,,Multiple Family Groups for HIV stigma reduction (MFG-HIVSR) plus FEE,Change in viral suppression will be assessed using viral load (VL) data collected from health clinic records. VL will be dichotomized between undetectable /suppression (VL< 40 copies/ml) and detectable/failed viral suppression (VL > =40 copies/ml) levels at each assessment time.
NCT05178979,The University of Texas at San Antonio,"This training program integrates evidence-based strategies to reduce provider bias, adapted to address gender bias in the context of HIV care in Uganda. The content aims to increase providers' knowledge, motivation, skills, and empathy to equitably deliver Ugandan Ministry of Health ART program guidelines to male and female patients (e.g., increasing awareness of HIV gender disparities, increasing empathy/skills to counsel men and women's gendered barriers to care, promoting shared decision-making). The intervention is delivered in a series of group training sessions with HIV providers.",,"Clinics will be randomly assigned to intervention or control via coin toss. Two cohorts of participants will be recruited from both the intervention arm and control arm. The total number of participants (N=240) represents the patient cohort, for which change in patient HIV engagement outcomes are the primary outcomes of the study. A second cohort of HIV providers will also be recruited (n~80-140) depending on the number of HIV providers per clinic, who will provide secondary outcomes related to change in provider knowledge, attitudes, and skills.",Training,"AACTG Adherence Instruments, self-reported questionnaire on medication adherence from the Adult AIDS Clinical Trials Group (AACTG); operationalized as a proportion of total missed doses (missed doses/total doses) (continuous measure, range =0.0-1.0)"
NCT05131165,RAND,Participants will receive daily text message reminders to use their routine behavior to trigger medication adherence.,,"A pilot randomized controlled trial with two intervention arms and a control group, that will receive intervention for three months with follow-on assessment for six months after the intervention period ends.",Daily Text Messages,MEMS-data will be collected continuously over the course of the three-month intervention period allowing us to investigate mean adherence. Only one of the ART medications will be used to calculate the primary adherence variable (# of actual bottle openings / # of prescribed bottle openings).
NCT05124665,Yale University,"The intervention to be evaluated in this study is a multidimensional, socio-behavioral ""Norming"" intervention. The various components of this intervention are designed to harness household dynamics and prosocial inclinations to encourage individuals to accept the HIV testing invitation. Each component is briefly described in the arm description.",,,Social Support,"To test the hypothesis that a norming intervention can increase test uptake, the investigators will compare testing uptake among the intervention households and control households using cluster-adjusted chi-squared tests of proportion and by fitting mixed effects logistic regression models with two levels (household, contact). The effect of the intervention will then be evaluated by comparing adjusted slope differences in the primary outcomes (test uptake) between the intervention and the control arms, using random intercept mixed logit models to account for clustering by household."
NCT05098015,RAND,"8-session group intervention that uses didactic instruction, role plays and experience sharing to empower participants to engage in HIV prevention advocacy.",,"Individual randomization to one of two parallel groups, the intervention or usual care (no intervention) control group.",Game Changers,Self-reported HIV testing behavior by social network members (yes/no)
NCT05084716,RAND,The intervention will train health care providers to facilitate workshops at outreach events where attendees can learn basic facts about PrEP and be taught skills about how to advocate for PrEP in their community. Healthcare facility staff will encourage PrEP initiators to select an adherence supporter. Check-in reminder calls will be conducted systematically with PrEP users.,,,Enhanced PrEP provision,Number of months (0-6) that a participant is on PrEP
NCT04946071,Thompson Rivers University,"The intervention will consist of 2-hour weekly sessions offered to students in participating schools. HIV-related stigma will be addressed by providing key information related to HIV and stigma, facilitating the acquisition of coping skills, and utilizing local cultural practices facilitated by Elders using creative methods to shift existing social and cultural norms that produce and perpetuate stigmatization. Specific intervention activities will include three interrelated activities. The core 2-hour weekly session will cover (1) transformative educational activities; (2) arts-based activities; (3) a summative activity consisting of (3) participatory theatre activites.",,"The study will employ a stepped-wedge, cluster randomized design involving crossover of clusters from the control to the intervention arm.",Arts-based HIV stigma intervention,measured using the Adolescents Living with HIV - Stigma Scale. The scale comprises of 10 items and will be administered by a member of the research team.
NCT04774666,Catholic Relief Services,Oral fluid-based HIV test,,,Acceptability of OraQuick Advance© Rapid HIV-1/2 Antibody screening,"Proportion of eligible index parent/caregivers (disaggregated by sex) that accepted an oral fluid-based HIV screening kit as part of innovative index testing services for their eligible children when first offered.
Proportion of eligible index parent/caregivers (disaggregated by sex) that accepted an oral fluid-based HIV screening kit as part of innovative index testing services for their eligible children when they returned for a subsequent visit.
Proportion of eligible children (i.e. unknown HIV status) screened with an oral fluid-based HIV screening kit."
NCT04624061,"Infectious Diseases Research Collaboration, Uganda","The intervention is a multi-component intervention of combined HIV and HTN care, based on the PRECEDE framework, to continuously identify barriers and facilitators leads to better health outcomes including dual control of HIV/HTN among adults in HIV care in the intervention compared to control facilities",,Comparative effectiveness cluster-randomized trial,Integrated HIV/HTN care model,Proportion of HIV patients Screened for HTN at 24 months months of follow up
NCT04528732,Washington University School of Medicine,"G-CBT consists of 10-session for HIV/AIDS-associated stigma, utilizing core components of CBT, including psychoeducation, cognitive restructuring, and skill-building to increase adaptive coping mechanisms.",Age was analyzed separately for children and caregivers.,Adolescents will be randomly assigned to one of three study arms: 1) Usual care to receive the currently implemented usual care addressing HIV/AIDS-associated stigma (educational materials from the Ugandan Ministry of Health); 2) G-CBT intervention + Usual care; and 3) MFG intervention + Usual care.,Group Cognitive Behavioral Therapy (G-CBT),"Child HIV Stigma was measured by the HIV Stigma Scale (HSS). The 40-item scale measures stigma and psychosocial aspects of having HIV. Responses were rated on a 4-point scale with 1= strongly agree, 2= agree, 3=disagree and 4=strongly disagree. Items in the inverse direction were reverse coded to create summated scores, with higher scores indicating high levels of HIV-related stigma. Min/max values: 40-160. Scores at 6-months are reported."
NCT04736316,University of Washington,Community-based client led antiretroviral therapy delivery groups.,,,Early CCLAD,Attendance in one Early CCLAD group meeting (yes/no)
NCT04286282,University of Minnesota,Group psychotherapy,,,Group Pyschotherapy,"The Patient Health Questionnaire (PHQ)-9 is a 9-item survey measuring degree of depression severity over the previous 2 weeks. Items assess how often the patient has been bothered by specific symptoms and are rated on a scale of 0 (not at all) to 3 (nearly every day). Total score is an unweighted sum of the 9 item scores, with higher scores indicating greater depression severity."
NCT04122144,Makerere University,"a) Enhanced VL counseling: Explanation of VL & Importance of VL suppression,assessment of adherence, counseling based on VL result and schedule for next VL testing and the role of VL and the MTCT risk; b).Standardized peer mother support: includes training of peer mothers on mandatory enhanced VL counseling during the routine peer counseling and education, follow up of mothers and continued adherence counseling and disclosure support and bi-weekly phone calls to mothers to provide VL counseling and follow up",,Comparative effectiveness cluster-randomized trial,ENHANCED -SPS intervention,The proportion of women with HIV-1 RNA suppression at 12 months of follow up to assess the effect of the intervention
NCT04030520,"University of California, San Francisco",behavioral intervention with offer of HIV self test,,,POPPi behavioral intervention,Initiation of PrEP using the pharmacy records indicating PrEP received by participants
NCT03915899,Johns Hopkins Bloomberg School of Public Health,"WINs will conduct active community surveillance to rapidly identify and welcome in-migrants, provide them with information about the availability of CHP, utilize a motivational interviewing approach to encourage CHP adoption, refer in-migrants to free services, and follow-up in-migrants to assess and further encourage engagement in CHP.",,,WIN (Welcome Incoming Neighbor),Rate of New HIV Infections
NCT03928418,"University of California, San Francisco",Brief alcohol reduction counseling is provided by a trained counselor to the study participant at the HIV clinic during two sessions that are 3 months apart.,n=1 SOC participant missing age,"Participants will be randomized to 1 of 3 arms. After the trial, participants in the standard of care arm, will be offered the intervention.",In-person counseling session,"Number of days drinking in the prior 21 days, as reported on the alcohol use timeline follow-back"
